family,test_year,chosen,train_sharpe,cagr_pct,sharpe,max_dd_pct,t_stat,n_trades,win_rate_pct
donchian,2004,"{'entry': 10, 'exit_': 5}",0.31,,,,,,
donchian,2005,"{'entry': 80, 'exit_': 20}",0.44,,,,,,
donchian,2006,"{'entry': 10, 'exit_': 5}",0.36,,,,,,
donchian,2007,"{'entry': 10, 'exit_': 10}",0.4,,,,,,
donchian,2008,"{'entry': 10, 'exit_': 20}",0.54,,,,,,
donchian,2009,"{'entry': 10, 'exit_': 20}",0.58,,,,,,
donchian,2010,"{'entry': 10, 'exit_': 20}",0.81,,,,,,
donchian,2011,"{'entry': 10, 'exit_': 20}",0.59,,,,,,
donchian,2012,"{'entry': 80, 'exit_': 20}",0.52,,,,,,
donchian,2013,"{'entry': 40, 'exit_': 20}",0.46,,,,,,
donchian,2014,"{'entry': 10, 'exit_': 10}",0.05,,,,,,
donchian,2015,"{'entry': 10, 'exit_': 10}",0.05,,,,,,
donchian,2016,"{'entry': 10, 'exit_': 10}",-0.06,,,,,,
donchian,2017,"{'entry': 10, 'exit_': 20}",0.05,,,,,,
donchian,2018,"{'entry': 80, 'exit_': 20}",0.01,,,,,,
donchian,2019,"{'entry': 80, 'exit_': 5}",-0.03,,,,,,
donchian,2020,"{'entry': 80, 'exit_': 5}",0.46,,,,,,
donchian,2021,"{'entry': 55, 'exit_': 10}",0.83,,,,,,
donchian,2022,"{'entry': 55, 'exit_': 5}",0.84,,,,,,
donchian,2023,"{'entry': 20, 'exit_': 5}",0.85,,,,,,
donchian,2024,"{'entry': 20, 'exit_': 5}",0.85,,,,,,
donchian,2025,"{'entry': 80, 'exit_': 5}",0.83,,,,,,
donchian,2026,"{'entry': 80, 'exit_': 5}",0.72,,,,,,
donchian,ALL_OOS,,,0.05,0.095,-63.21,0.46,193.0,39.4
tsmom,2003,{'lookback': 40},0.35,,,,,,
tsmom,2004,{'lookback': 40},0.71,,,,,,
tsmom,2005,{'lookback': 40},0.58,,,,,,
tsmom,2006,{'lookback': 60},0.19,,,,,,
tsmom,2007,{'lookback': 250},0.58,,,,,,
tsmom,2008,{'lookback': 250},0.51,,,,,,
tsmom,2009,{'lookback': 250},0.8,,,,,,
tsmom,2010,{'lookback': 20},0.81,,,,,,
tsmom,2011,{'lookback': 20},0.85,,,,,,
tsmom,2012,{'lookback': 60},0.51,,,,,,
tsmom,2013,{'lookback': 20},0.36,,,,,,
tsmom,2014,{'lookback': 180},0.1,,,,,,
tsmom,2015,{'lookback': 180},0.12,,,,,,
tsmom,2016,{'lookback': 180},0.13,,,,,,
tsmom,2017,{'lookback': 180},0.53,,,,,,
tsmom,2018,{'lookback': 180},0.59,,,,,,
tsmom,2019,{'lookback': 120},0.36,,,,,,
tsmom,2020,{'lookback': 120},0.53,,,,,,
tsmom,2021,{'lookback': 20},0.88,,,,,,
tsmom,2022,{'lookback': 20},0.76,,,,,,
tsmom,2023,{'lookback': 20},0.84,,,,,,
tsmom,2024,{'lookback': 250},0.59,,,,,,
tsmom,2025,{'lookback': 250},0.71,,,,,,
tsmom,2026,{'lookback': 180},0.58,,,,,,
tsmom,ALL_OOS,,,0.13,0.112,-65.85,0.54,270.0,39.6
basis_z,2003,"{'z_win': 120, 'th': 0.5}",2.26,,,,,,
basis_z,2004,"{'z_win': 120, 'th': 0.5}",2.06,,,,,,
basis_z,2005,"{'z_win': 120, 'th': 0.5}",1.76,,,,,,
basis_z,2006,"{'z_win': 60, 'th': 0.5}",1.7,,,,,,
basis_z,2007,"{'z_win': 120, 'th': 1.5}",0.91,,,,,,
basis_z,2008,"{'z_win': 120, 'th': 1.5}",1.42,,,,,,
basis_z,2009,"{'z_win': 120, 'th': 1.5}",1.1,,,,,,
basis_z,2010,"{'z_win': 120, 'th': 1.5}",0.95,,,,,,
basis_z,2011,"{'z_win': 120, 'th': 0.5}",1.3,,,,,,
basis_z,2012,"{'z_win': 120, 'th': 0.5}",0.97,,,,,,
basis_z,2013,"{'z_win': 120, 'th': 0.5}",0.82,,,,,,
basis_z,2014,"{'z_win': 120, 'th': 0.5}",0.85,,,,,,
basis_z,2015,"{'z_win': 60, 'th': 1.5}",1.5,,,,,,
basis_z,2016,"{'z_win': 60, 'th': 1.5}",1.13,,,,,,
basis_z,2017,"{'z_win': 250, 'th': 0.5}",0.94,,,,,,
basis_z,2018,"{'z_win': 120, 'th': 0.5}",0.94,,,,,,
basis_z,2019,"{'z_win': 120, 'th': 0.5}",1.22,,,,,,
basis_z,2020,"{'z_win': 60, 'th': 1.0}",1.03,,,,,,
basis_z,2021,"{'z_win': 250, 'th': 1.5}",0.89,,,,,,
basis_z,2022,"{'z_win': 250, 'th': 1.5}",1.1,,,,,,
basis_z,2023,"{'z_win': 250, 'th': 1.5}",0.74,,,,,,
basis_z,2024,"{'z_win': 250, 'th': 1.5}",0.62,,,,,,
basis_z,2025,"{'z_win': 60, 'th': 1.0}",0.9,,,,,,
basis_z,2026,"{'z_win': 60, 'th': 1.0}",0.31,,,,,,
basis_z,ALL_OOS,,,5.72,0.478,-39.73,2.31,864.0,53.5
rsi2_lo,2003,"{'buy_th': 5, 'trend_ma': 200, 'short': False}",0.38,,,,,,
rsi2_lo,2004,"{'buy_th': 5, 'trend_ma': 200, 'short': False}",0.58,,,,,,
rsi2_lo,2005,"{'buy_th': 15, 'trend_ma': 100, 'short': False}",0.22,,,,,,
rsi2_lo,2006,"{'buy_th': 15, 'trend_ma': 100, 'short': False}",0.19,,,,,,
rsi2_lo,2007,"{'buy_th': 15, 'trend_ma': 100, 'short': False}",0.2,,,,,,
rsi2_lo,2008,"{'buy_th': 15, 'trend_ma': 100, 'short': False}",0.22,,,,,,
rsi2_lo,2009,"{'buy_th': 15, 'trend_ma': 100, 'short': False}",0.44,,,,,,
rsi2_lo,2010,"{'buy_th': 15, 'trend_ma': 100, 'short': False}",0.72,,,,,,
rsi2_lo,2011,"{'buy_th': 15, 'trend_ma': 100, 'short': False}",0.56,,,,,,
rsi2_lo,2012,"{'buy_th': 15, 'trend_ma': 100, 'short': False}",0.54,,,,,,
rsi2_lo,2013,"{'buy_th': 15, 'trend_ma': 100, 'short': False}",0.5,,,,,,
rsi2_lo,2014,"{'buy_th': 15, 'trend_ma': 100, 'short': False}",0.5,,,,,,
rsi2_lo,2015,"{'buy_th': 15, 'trend_ma': 100, 'short': False}",0.68,,,,,,
rsi2_lo,2016,"{'buy_th': 10, 'trend_ma': 200, 'short': False}",1.04,,,,,,
rsi2_lo,2017,"{'buy_th': 10, 'trend_ma': 200, 'short': False}",1.22,,,,,,
rsi2_lo,2018,"{'buy_th': 10, 'trend_ma': 200, 'short': False}",0.93,,,,,,
rsi2_lo,2019,"{'buy_th': 10, 'trend_ma': 100, 'short': False}",0.65,,,,,,
rsi2_lo,2020,"{'buy_th': 10, 'trend_ma': 100, 'short': False}",0.56,,,,,,
rsi2_lo,2021,"{'buy_th': 5, 'trend_ma': 100, 'short': False}",0.63,,,,,,
rsi2_lo,2022,"{'buy_th': 5, 'trend_ma': 100, 'short': False}",0.87,,,,,,
rsi2_lo,2023,"{'buy_th': 5, 'trend_ma': 200, 'short': False}",0.95,,,,,,
rsi2_lo,2024,"{'buy_th': 5, 'trend_ma': 200, 'short': False}",1.1,,,,,,
rsi2_lo,2025,"{'buy_th': 10, 'trend_ma': 200, 'short': False}",0.89,,,,,,
rsi2_lo,2026,"{'buy_th': 10, 'trend_ma': 200, 'short': False}",0.95,,,,,,
rsi2_lo,ALL_OOS,,,4.17,0.567,-12.95,2.74,182.0,78.6
pcr,2003,{'width': 0.15},-0.21,,,,,,
pcr,2004,{'width': 0.15},-0.29,,,,,,
pcr,2005,{'width': 0.15},-0.44,,,,,,
pcr,2006,{'width': 0.15},-0.36,,,,,,
pcr,2007,{'width': 0.1},-0.38,,,,,,
pcr,2008,{'width': 0.1},-0.12,,,,,,
pcr,2009,{'width': 0.1},0.25,,,,,,
pcr,2010,{'width': 0.1},0.58,,,,,,
pcr,2011,{'width': 0.05},0.54,,,,,,
pcr,2012,{'width': 0.05},0.63,,,,,,
pcr,2013,{'width': 0.05},0.73,,,,,,
pcr,2014,{'width': 0.15},0.66,,,,,,
pcr,2015,{'width': 0.1},0.53,,,,,,
pcr,2016,{'width': 0.1},0.61,,,,,,
pcr,2017,{'width': 0.1},0.89,,,,,,
pcr,2018,{'width': 0.1},1.11,,,,,,
pcr,2019,{'width': 0.1},1.03,,,,,,
pcr,2020,{'width': 0.1},1.14,,,,,,
pcr,2021,{'width': 0.1},1.26,,,,,,
pcr,2022,{'width': 0.15},1.15,,,,,,
pcr,2023,{'width': 0.15},0.79,,,,,,
pcr,2024,{'width': 0.15},0.9,,,,,,
pcr,2025,{'width': 0.15},0.71,,,,,,
pcr,2026,{'width': 0.15},0.45,,,,,,
pcr,ALL_OOS,,,6.62,0.446,-48.47,2.16,498.0,41.4
